title,link
Adventure,/wiki/Adventure_(Bookshelf)
Children's Fiction,/wiki/Children%27s_Fiction_(Bookshelf)
Crime Fiction,/wiki/Crime_Fiction_(Bookshelf)
Detective Fiction,/wiki/Detective_Fiction_(Bookshelf)
Erotic Fiction,/wiki/Erotic_Fiction_(Bookshelf)
Fantasy,/wiki/Fantasy_(Bookshelf)
General Fiction,/wiki/General_Fiction
Gothic Fiction,/wiki/Gothic_Fiction_(Bookshelf)
Historical Fiction,/wiki/Historical_Fiction_(Bookshelf)
Horror,/wiki/Horror_(Bookshelf)
Humor,/wiki/Humor_(Bookshelf)
Movie Books,/wiki/Movie_Books_(Bookshelf)
Mystery Fiction,/wiki/Mystery_Fiction_(Bookshelf)
Precursors of Science Fiction,/wiki/Precursors_of_Science_Fiction_(Bookshelf)
Romantic Fiction,/wiki/Romantic_Fiction_(Bookshelf)
School Stories,/wiki/School_Stories_(Bookshelf)
Science Fiction,/wiki/Science_Fiction_(Bookshelf)
Western,/wiki/Western_(Bookshelf)
