id,title,author,release_date
32226,The Flower Princess,Abbie Farwell Brown,2010
5837,"Sketches New and Old, Part 2.",Mark Twain (Samuel Clemens),2004
5832,Recalled to Life,Grant Allen,2004
22463,Chivalry,James Branch Cabell,2008
5265,The Ball and The Cross,G.K. Chesterton,2004
57339,The Fox That Wanted Nine Golden Tails,Kathleen Gray Nelson,2018
31970,Feline Red,Robert Sampson,2010
40484,Black Star's Campaign,Johnston McCulley,2012
32687,The Colonists,Raymond F. Jones,2010
11481,Dirty Work,W.W. Jacobs,2004
60450,Les naufragÃÂ©s du Jonathan,Jules Verne,2019
30457,Through Russian Snows,G. A Henty,2009
20082,Warrior Gap,Charles King,2006
5207,The Guns of Shiloh,Joseph A. Altsheler,2004
588,Master Humphrey's Clock,Charles Dickens,2013
17056,The Submarine Boys and the Middies,Victor G. Durham,2005
7070,The Treasure of the Incas,G. A. Henty,2004
53444,Haaveilija,Knut Hamsun,2016
715,The Moon Endureth--Tales and Fancies,John Buchan,2008
23265,The Crofton Boys,Harriet Martineau,2007
54262,Sämmtliche Werke 1: Die Toten Seelen I,Nikolaj Gogol,2017
10810,The Young Trail Hunters,Samuel Woodworth Cozzens,2004
42015,Helen in the Editor's Chair,Ruthe S. Wheeler,2013
37573,Pencil Sketches,Eliza Leslie,2011
25429,The Peril Finders,George Manville Fenn,2008
696,The Castle of Otranto,Horace Walpole,2012
12940,The Chums of Scranton High Out for the Pennant,Donald Ferguson,2004
30779,Les aventures de TÃ©lÃ©maque suivies des aventures d'AritonoÃ¼s,FranÃ§ois de Salignac de la Mothe FÃ©nelon,2009
28229,"Anderson Crow, Detective",George Barr McCutcheon,2009
45881,A Secret Inheritance  (Volume 2 of 3),B. L. (Benjamin Leopold) Farjeon,2014
30763,Am I Still There?,James R. Hall,2009
35266,A Search For A Secret (Vol 3 of 3),G. A. Henty,2011
52152,Ilmasota,H. G. (Herbert George) Wells,2016
43492,The Five Knots,Fred M. White,2013
40033,The Missing Formula,"Mildred A. Wirt, AKA Ann Wirt",2012
1314,The Malefactor,E. Phillips Oppenheim,1998
46441,"Mr. Midshipman Glover, R.N.",T. T. Jeans,2014
9310,Casanovaâs Homecoming,Arthur Schnitzler,2005
42532,The Gold-Seekers,Gustave Aimard,2013
50293,Das GlÃ¼ck ist immer da!,Otto Ernst,2015
58582,St. Martin's Eve,Mrs. Henry Wood,2018
55765,The Faery Queen and Her Knights,Alfred John Church,2017
45802,Knock Three Times!,Marion St. John Webb,2014
29756,The Cat of Bubastes,G. A. Henty,2009
43917,The Motor Rangers Through the Sierras,Marvin West,2013
59825,A Case of Sunburn,Charles L. Fontenay,2019
57351,Punainen leski,Sven Elvestad,2018
13793,En famille,Hector Malot,2004
24879,"Curious, if True",Elizabeth Gaskell,2008
2794,Found At Blazing Star,Bret Harte,2006
36953,The Heart of Canyon Pass,Thomas K. Holmes,2011
24933,The Man Who Knew,Edgar Wallace,2008
4097,Alice of Old Vincennes,Maurice Thompson,2003
7198,"The Adventures of Tom Sawyer, Part 6.",Mark Twain (Samuel Clemens),2004
7245,"A Connecticut Yankee in King Arthur's Court, Part 4.",Mark Twain (Samuel Clemens),2004
18326,La Murdoj de Kadavrejo-Strato,Edgar Allan Poe,2006
33075,Het Stoomhuis,Jules Verne,2010
36813,Kasperle auf Reisen,Josephine Siebe,2011
34046,Whispering Wires,Henry Leverage,2010
55210,Arsène Lupin miljoonaperillisenä,Maurice Leblanc,2017
41446,The Heart of Pinocchio,Collodi Nipote,2012
38053,The Coo-ee Reciter,Various,2011
23782,The Lilac Lady,Ruth Alberta Brown,2007
36086,L'hÃ´tellerie sanglante,Paul Mahalin,2011
14815,Peck's Compendium of Fun,George W. Peck,2005
28105,A Learned Dissertation on Dumpling (1726),Anonymous,2009
59874,Around the End,Ralph Henry Barbour,2019
13675,Goody Two-Shoes,Anonymous,2004
32632,The Spy,J. Fenimore Cooper,2010
43907,Betty Gordon at Bramble Farm,Alice B. Emerson,2013
19318,The Outdoor Girls in the Saddle,Laura Lee Hope,2006
12209,The Persecution of Bob Pretty,W.W. Jacobs,2004
53984,"Tarzan, apinain kuningas",Edgar Rice Burroughs,2017
33425,The Crimson Sweater,Ralph Henry Barbour,2010
39968,Lancashire Humour,Thomas Newbigging,2012
10756,Between Whiles,Helen Hunt Jackson,2004
