id,subject,book_id
11,Whaling -- Fiction,2701
115,Sea stories,2701
2430,Psychological fiction,2701
2486,Ship captains -- Fiction,2701
2849,Adventure stories,2701
3315,Mentally ill -- Fiction,2701
8143,"Ahab, Captain (Fictitious character) -- Fiction",2701
8144,Whales -- Fiction,2701
18044,Whaling ships -- Fiction,2701
511,Humorous stories,76
2536,Bildungsromans,76
2604,Boys -- Fiction,76
2614,Male friendship -- Fiction,76
2849,Adventure stories,76
3470,Missouri -- Fiction,76
5311,Race relations -- Fiction,76
7019,Runaway children -- Fiction,76
7021,"Finn, Huckleberry (Fictitious character) -- Fiction",76
7022,Fugitive slaves -- Fiction,76
7023,Mississippi River -- Fiction,76
511,Humorous stories,74
2536,Bildungsromans,74
2604,Boys -- Fiction,74
2614,Male friendship -- Fiction,74
2849,Adventure stories,74
3470,Missouri -- Fiction,74
3967,"Sawyer, Tom (Fictitious character) -- Fiction",74
5111,Child witnesses -- Fiction,74
7019,Runaway children -- Fiction,74
7020,Mississippi River Valley -- Fiction,74
106,Shipwreck survival -- Fiction,521
108,Islands -- Fiction,521
2818,"Crusoe, Robinson (Fictitious character) -- Fiction",521
2821,Atlantic Ocean -- Fiction,521
2849,Adventure stories,521
5831,Castaways -- Fiction,521
94,Short stories,236
141,Animals -- Fiction,236
142,Jungles -- Fiction,236
143,India -- Fiction,236
2848,Jungle animals -- Fiction,236
3278,Mowgli (Fictitious character) -- Fiction,236
6944,"Adventure stories, English",236
18485,Feral children -- Fiction,236
25971,India -- History -- 19th century -- Fiction,236
60,Historical fiction,940
808,War stories,940
1291,"United States -- History -- French and Indian War, 1754-1763 -- Fiction",940
2849,Adventure stories,940
3176,Frontier and pioneer life -- Fiction,940
5053,"Bumppo, Natty (Fictitious character) -- Fiction",940
5056,Mohegan Indians -- Fiction,940
138,Fantasy fiction,57426
917,Dogs -- Juvenile fiction,57426
1414,Conduct of life -- Juvenile fiction,57426
2849,Adventure stories,57426
3674,"Wit and humor, Juvenile",57426
3961,Voyages and travels -- Juvenile fiction,57426
7834,Youth -- Conduct of life -- Juvenile fiction,57426
11018,Queens -- Juvenile fiction,57426
11050,Kings and rulers -- Juvenile fiction,57426
11145,Courtship -- Juvenile fiction,57426
11950,"Voyages, Imaginary -- Juvenile fiction",57426
12252,Youth and death -- Juvenile fiction,57426
94,Short stories,35997
141,Animals -- Fiction,35997
142,Jungles -- Fiction,35997
143,India -- Fiction,35997
2848,Jungle animals -- Fiction,35997
3278,Mowgli (Fictitious character) -- Fiction,35997
6944,"Adventure stories, English",35997
18485,Feral children -- Fiction,35997
25971,India -- History -- 19th century -- Fiction,35997
36,Science fiction,18857
2849,Adventure stories,18857
6593,Earth (Planet) -- Core -- Fiction,18857
12294,"Voyages, Imaginary -- Fiction",18857
185,Orphans -- Juvenile fiction,42796
1414,Conduct of life -- Juvenile fiction,42796
2496,Children -- Conduct of life -- Juvenile fiction,42796
3558,Brothers and sisters -- Juvenile fiction,42796
3960,Adventure and adventurers -- Juvenile fiction,42796
11057,Families -- Juvenile fiction,42796
